MovieID,Title,MPAA_Rating,Budget,Gross,Release_Date,Genre,Runtime,Rating,Rating_Count,Summary
5,Field of Dreams-1989,PG,15000000,84400000,4/21/1989,Drama,107,7.5,101702,"An Iowa corn farmer, hearing voices, interprets them as a command to build a baseball diamond in his fields; he does, and the 1919 Chicago White Sox come."
18,Indiana Jones and the Last Crusade-1989,PG-13,48000000,474200000,5/24/1989,Adventure,127,8.2,647495,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry Indiana Jones, Jr. finds himself up against Adolf Hitlers Nazis again to stop them from obtaining its powers."
8,Dead Poets Society-1989,PG,16400000,235900000,6/2/1989,Drama,129,8.1,382002,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
15,Ghostbusters II-1989,PG,37000000,215400000,6/15/1989,Comedy,108,6.6,171196,The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.
13,"Honey, I Shrunk the Kids-1989",PG,18000000,222700000,6/22/1989,Family,93,6.3,132480,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.
14,Batman-1989,PG,48000000,411600000,6/23/1989,Action,126,7.5,319517,The Dark Knight of Gotham City begins his war on crime with his first major enemy being the clownishly homicidal Joker.
10,Lethal Weapon 2-1989,R,30000000,227900000,7/7/1989,Comedy,114,7.2,151737,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.
7,When Harry Met Sally...-1989,R,16000000,92800000,7/21/1989,Romance,96,7.6,180871,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
3,Turner & Hooch-1989,PG,13000000,71100000,7/28/1989,Crime,100,7.2,91415,"Det. Scott Turner (Tom Hanks) is an uptight, by-the-book police officer. When his friend Amos Reed (John McIntire), the proprietor of a junkyard, is killed, Turner reluctantly inherits the man's dog. Turner adjusts to life with the dog to help solve a murder case."
9,Parenthood-1989,PG-13,20000000,126000000,7/31/1989,Comedy,124,7,41866,"The Buckmans are a midwestern family all dealing with their lives: estranged relatives, raising children, pressures of the job, and learning to be a good parent and spouse."
6,Uncle Buck-1989,PG,15000000,79200000,8/16/1989,Family,100,7,77659,Bachelor and all-round slob Buck babysits his brothers rebellious teenage daughter and her cute younger brother and sister.
1,Look Who's Talking-1989,PG-13,7500000,297000000,10/12/1989,Romance,93,5.9,73638,"After a single, career-minded woman is left on her own to give birth to the child of a married man, she finds a new romantic chance in a cab driver. Meanwhile, the point-of-view of the newborn boy is narrated through voice-over."
20,Steel Magnolias-1989,PG,15000000,96800000,11/15/1989,Drama,119,7.3,43037,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
16,The Little Mermaid-1989,PG,40000000,235000000,11/17/1989,Animation,83,7.6,219221,A mermaid princess makes a Faustian bargain in an attempt to become human and win a princes love.
17,Back to the Future Part II-1989,PG,40000000,332900000,11/20/1989,Science Fiction,108,7.8,438940,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
12,National Lampoon's Christmas Vacation-1989,PG-13,25000000,73300000,12/1/1989,Action,97,7.6,135690,The Griswold familys plans for a big family Christmas predictably turn into a big disaster.
11,The War of the Roses-1989,R,26000000,160000000,12/8/1989,Comedy,116,6.8,45248,A married couple try everything to get each other to leave the house in a vicious divorce battle.
2,Driving Miss Daisy-1989,PG,7500000,145800000,12/13/1989,Comedy,99,7.4,91075,An old Jewish woman and her African-American chauffeur in the American South have a relationship that grows and improves over the years.
4,Born on the Fourth of July-1989,R,17800000,162000000,12/20/1989,War,145,7.2,91415,"The biography of Ron Kovic. Paralyzed in the Vietnam war, he becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for."
19,Tango & Cash-1989,R,54000000,120400000,12/22/1989,Action,104,6.8,79806,"Framed by their ruthless arch-nemesis, a mismatched LAPD crime-fighting duo has to put its differences aside to even the score with the evil kingpin who put them behind bars once and for all."
33,The Hunt for Red October-1990,PG,30000000,200500000,3/2/1990,Thriller,134,7.6,167212,"In November 1984, the Soviet Unions best submarine Captain in their newest sub violates orders and heads for the U.S. Is he trying to defect or to start a war?"
23,Pretty Woman-1990,R,14000000,463400000,3/23/1990,Romance,119,7,266405,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
22,Teenage Mutant Ninja Turtles-1990,PG,13500000,202000000,3/30/1990,Action,93,6.8,79806,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.
26,Bird on a Wire-1990,PG-13,20000000,138700000,5/18/1990,Comedy,110,6,37415,An old flame discovers her ex-boyfriend from the past is a relocated FBI informant out to stop the bad guys.
35,Back to the Future Part III-1990,PG,40000000,245100000,5/25/1990,Family,118,7.4,369652,"Learning about the death of Doc Brown in 1885, Marty travels back in time to save him. But when the fuel tank on the time machine is punctured, the two must figure out a way to escape the Old West before Emmet is murdered."
39,Total Recall-1990,R,65000000,261400000,6/1/1990,Science Fiction,113,7.5,282870,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real - or does he?"
34,Another 48 Hrs.-1990,R,50000000,153500000,6/8/1990,Action,95,5.9,36103,"Jack Cates once again enlists the aid of ex-con Reggie Hammond--this time, to take down The Iceman, a ruthless drug lord operating in the San Francisco bay area."
36,Dick Tracy-1990,PG,46000000,162700000,6/15/1990,Crime,103,6.1,54312,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprices united mob.
38,Days of Thunder-1990,PG-13,60000000,157900000,6/27/1990,Adventure,107,6,73649,A young hot-shot stock car driver gets his chance to compete at the top level.
40,Die Hard 2-1990,R,70000000,240000000,7/2/1990,Thriller,124,7.2,317843,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C."
29,Ghost-1990,PG-13,22000000,505700000,7/12/1990,Thriller,127,7,183054,"After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
30,Presumed Innocent-1990,R,20000000,221300000,7/26/1990,Crime,127,6.9,35122,"As a lawyer investigates the murder of a colleague, he finds himself more connected to the crime than anyone else."
32,Flatliners-1990,R,26000000,61500000,8/9/1990,Horror,115,6.6,76155,"Five medical students experiment with near death experiences, until the dark consequences of past tragedies begin to jeopardize their lives."
25,Home Alone-1990,PG,18000000,476700000,11/9/1990,Family,103,7.6,414472,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
31,Dances with Wolves-1990,PG-13,22000000,424200000,11/9/1990,Western,181,8,224754,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military."
21,Three Men and a Little Lady-1990,PG,11000000,71600000,11/21/1990,Family,104,6.1,127793,"Sequel to Three Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes."
27,Misery-1990,R,20000000,61300000,11/28/1990,Drama,107,7.8,168946,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
28,Edward Scissorhands-1990,PG-13,20000000,86000000,12/5/1990,Drama,105,7.9,421760,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world."
24,Kindergarten Cop-1990,PG-13,26000000,202000000,12/21/1990,Action,111,6.1,127793,"A tough cop must pose as a kindergarten teacher in order to locate a dangerous criminals ex-wife, who may hold the key to putting him behind bars."
37,The Godfather: Part III-1990,R,54000000,136900000,12/24/1990,Drama,162,7.6,332236,"In the midst of trying to legitimize his business dealings in New York City and Italy in 1979, aging Mafia Don Michael Corleone seeks to avow for his sins, while taking his nephew Vincent Mancini under his wing."
42,The Silence of the Lambs-1991,R,19000000,272700000,2/1/1991,Crime,119,8.6,1166583,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
43,Sleeping with the Enemy-1991,R,19000000,175000000,2/8/1991,Drama,99,6.2,46455,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband."
46,Teenage Mutant Ninja Turtles II-1991,PG,25000000,78700000,3/22/1991,Action,88,8,397467,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants."
53,What About Bob?-1991,PG,39000000,63700000,5/17/1991,Comedy,100,7,58797,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation."
58,Backdraft-1991,R,40000000,152400000,5/24/1991,Mystery,137,6.7,67442,"Two Chicago firefighter brothers, who dont get along, have to work together while a dangerous arsonist is on the loose."
49,City Slickers-1991,PG-13,26000000,180000000,6/7/1991,Comedy,112,6.7,45166,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
56,Robin Hood: Prince of Thieves-1991,PG-13,48000000,390500000,6/14/1991,Adventure,143,6.9,168877,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw."
45,The Naked Gun 2 1/2: The Smell of Fear-1991,PG-13,23000000,192000000,6/28/1991,Drama,85,6.5,64326,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.
59,Terminator 2: Judgment Day-1991,R,100000000,520900000,7/1/1991,Science Fiction,137,8.5,930593,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
48,Hot Shots!-1991,PG-13,26000000,181100000,7/31/1991,Comedy,84,6.8,93277,A parody of Top Gun (1986) in which a talented but unstable fighter pilot must overcome the ghosts of his father and save a mission sabotaged by greedy weapons manufacturers.
47,Beauty and the Beast-1991,PG,25000000,440100000,11/13/1991,Animation,84,8,397467,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young womans love.
54,Cape Fear-1991,R,35000000,182300000,11/15/1991,Crime,128,7.3,157496,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
51,The Addams Family-1991,PG-13,30000000,191500000,11/22/1991,Comedy,99,6.9,119260,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.
50,Star Trek VI: The Undiscovered Country-1991,PG,30000000,96800000,12/5/1991,Science Fiction,113,7.2,66086,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace."
57,Hook-1991,PG,70000000,300900000,12/11/1991,Family,144,6.8,218151,"When Captain Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy."
44,Father of the Bride-1991,PG,20000000,129000000,12/20/1991,Romance,105,6.5,64326,"With his oldest daughters wedding approaching, a father finds himself reluctant to let go."
55,JFK-1991,R,40000000,205400000,12/20/1991,Drama,189,8,132879,New Orleans District Attorney Jim Garrison discovers theres more to the Kennedy assassination than the official story.
52,The Prince of Tides-1991,R,30000000,135000000,12/25/1991,Romance,132,6.7,14918,A troubled man talks to his suicidal sisters psychiatrist about their family history and falls in love with her in the process.
41,Fried Green Tomatoes-1991,PG-13,11000000,119400000,12/27/1991,Comedy,130,7.7,62493,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.
61,The Hand that Rocks the Cradle-1992,R,11900000,140000000,1/10/1992,Drama,110,8.2,348791,"After her humiliated husband kills himself, an embittered pregnant widow loses her child, and embarks on a mission of vengeance against a woman and her family."
64,Wayne's World-1992,PG-13,20000000,183100000,2/14/1992,Comedy,94,7,135657,Two slacker friends try to promote their public-access cable show.
78,Basic Instinct-1992,R,49000000,352900000,3/20/1992,Thriller,127,6.9,159658,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.
67,White Men Can't Jump-1992,R,31000000,90800000,3/26/1992,Comedy,115,6.8,70430,Black and white basketball hustlers join forces to double their chances of winning money on the street courts and in a basketball tournament.
70,Lethal Weapon 3-1992,R,35000000,321700000,5/15/1992,Action,118,6.7,148440,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.
68,Sister Act-1992,PG,31000000,231600000,5/28/1992,Comedy,100,6.4,80510,"When a worldly singer witnesses a mob crime, the police hide her as a nun in a traditional convent where she has trouble fitting in."
77,Patriot Games-1992,R,45000000,178000000,6/4/1992,Thriller,117,6.9,95783,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge."
79,Batman Returns-1992,PG-13,80000000,266800000,6/19/1992,Action,126,7,258216,Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.
72,Boomerang-1992,R,42000000,131000000,6/30/1992,Romance,117,5.5,24114,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
73,A League of Their Own-1992,PG,40000000,132400000,7/1/1992,Comedy,128,7.2,85932,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.
62,Unforgiven-1992,R,14400000,159200000,8/7/1992,Western,131,8.2,348791,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The Schofield Kid (Jaimz Woolvett)."
60,The Crying Game-1992,R,4000000,71000000,9/2/1992,Romance,112,7.2,48101,"A British soldier kidnapped by IRA terrorists soon befriends one of his captors, who then becomes drawn into the soldiers world."
74,The Last of the Mohicans-1992,R,40000000,143000000,9/25/1992,Action,112,7.7,139000,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
71,Under Siege-1992,R,35000000,156600000,10/8/1992,Action,103,6.5,71962,An ex-Navy Seal turned cook is the only person who can stop a group of terrorists when they seize control of a U.S. battleship.
75,Bram Stoker's Dracula-1992,R,40000000,215900000,11/13/1992,Drama,128,7.4,177678,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harkers fiancï¿½e Mina Murray and inflict havoc in the foreign land.
63,Home Alone 2: Lost in New York-1992,PG,18000000,359000000,11/19/1992,Family,120,6.7,269944,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
65,The Bodyguard-1992,R,25000000,411000000,11/25/1992,Action,129,6.3,110511,"A former Secret Service agent takes on the job of bodyguard to an RB singer, whose lifestyle is most unlike a Presidents."
66,Aladdin-1992,G,28000000,504100000,11/25/1992,Animation,90,8,336384,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
76,A Few Good Men-1992,R,40000000,243200000,12/11/1992,Drama,138,7.7,218747,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
69,Scent of a Woman-1992,R,31000000,134100000,12/23/1992,Drama,157,8,238212,"A prep school student needing money agrees to babysit a blind man, but the job is not at all what he anticipated."
81,Groundhog Day-1993,PG,14600000,105000000,2/11/1993,Comedy,101,8,549538,A weatherman finds himself inexplicably living the same day over and over again.
90,Indecent Proposal-1993,R,38000000,266600000,4/7/1993,Drama,117,5.9,58078,A billionaire offers one million dollars to a young married couple for one night with the wife.
88,Dave-1993,PG-13,28000000,92000000,5/7/1993,Comedy,110,6.8,46467,"To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place."
98,Cliffhanger-1993,R,70000000,255000000,5/28/1993,Adventure,112,6.4,113299,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.
83,Sleepless in Seattle-1993,PG,21000000,227800000,6/24/1993,Romance,105,6.8,147908,A recently widowed mans son calls a radio talk-show in an attempt to find his father a partner.
94,The Firm-1993,R,42000000,270200000,6/30/1993,Mystery,154,6.8,108683,A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.
92,In the Line of Fire-1993,R,40000000,187000000,7/8/1993,Crime,128,7.2,86650,"Secret Service agent Frank Horrigan couldnt save Kennedy, but hes determined not to let a clever assassin take out this president."
82,Free Willy-1993,PG,20000000,153700000,7/16/1993,Family,112,5.9,64130,"When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale."
93,Rising Sun-1993,R,40000000,107200000,7/30/1993,Thriller,125,6.2,40088,"When an escort girl is found dead in the offices of a Japanese company in Los Angeles, detectives Web Smith and John Connor act as liaison between the companys executives and the investigating cop Tom Graham."
95,The Fugitive-1993,PG-13,44000000,368900000,8/6/1993,Adventure,130,7.8,249811,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
80,Cool Runnings-1993,PG,17000000,154900000,9/30/1993,Comedy,98,6.9,85604,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team."
97,Demolition Man-1993,R,57000000,159100000,10/8/1993,Action,115,6.7,148329,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.
85,Mrs. Doubtfire-1993,PG-13,25000000,441300000,11/24/1993,Family,125,7,226146,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife."
